step,train_loss,val_loss,lr,grad_norm,elapsed_s,tokens
448,4.041641,,0.00289428,0.430533,960.5,1839104
449,4.105427,,0.00289358,0.424938,962.5,1843200
450,3.907043,4.121579,0.00289288,0.430015,977.1,1847296
451,3.971118,,0.00289217,0.434699,979.1,1851392
452,3.967595,,0.00289146,0.413485,981.1,1855488
453,3.974164,,0.00289075,0.473933,983.5,1859584
454,3.939662,,0.00289004,0.429195,985.4,1863680
455,3.924991,,0.00288933,0.457761,987.4,1867776
456,3.989778,,0.00288861,0.478722,989.5,1871872
457,3.912118,,0.00288789,0.441857,991.4,1875968
458,3.938267,,0.00288717,0.475392,993.2,1880064
459,4.061417,,0.00288645,0.474854,995.2,1884160
460,3.951833,,0.00288572,0.487201,997.2,1888256
461,4.005016,,0.00288499,0.463815,999.1,1892352
462,3.967268,,0.00288426,0.449355,1001.1,1896448
463,3.968211,,0.00288353,0.459267,1002.8,1900544
464,3.988913,,0.00288280,0.421115,1004.2,1904640
465,4.023805,,0.00288206,0.513620,1005.7,1908736
466,3.966233,,0.00288132,0.461200,1007.2,1912832
467,3.964518,,0.00288058,0.422777,1008.8,1916928
468,3.942553,,0.00287984,0.439766,1010.3,1921024
469,3.900227,,0.00287909,0.447251,1011.8,1925120
470,3.834138,,0.00287834,0.433632,1013.1,1929216
471,4.023067,,0.00287759,0.435308,1014.6,1933312
472,4.018081,,0.00287684,0.416769,1016.2,1937408
473,3.891146,,0.00287609,0.467557,1017.5,1941504
474,3.962497,,0.00287533,0.427791,1018.9,1945600
475,3.942799,,0.00287457,0.424764,1020.4,1949696
476,4.010858,,0.00287381,0.454137,1022.0,1953792
477,3.953110,,0.00287305,0.414753,1023.5,1957888
478,3.933830,,0.00287228,0.436159,1025.0,1961984
479,3.893258,,0.00287152,0.416661,1026.3,1966080
480,3.912391,,0.00287075,0.471282,1027.9,1970176
481,3.977290,,0.00286998,0.426860,1029.2,1974272
482,3.943551,,0.00286920,0.442296,1030.8,1978368
483,3.960441,,0.00286843,0.425776,1032.6,1982464
484,3.824045,,0.00286765,0.407691,1034.6,1986560
485,3.976438,,0.00286687,0.436804,1036.5,1990656
486,4.138087,,0.00286608,0.455221,1038.8,1994752
487,3.878950,,0.00286530,0.428270,1040.8,1998848
488,3.835851,,0.00286451,0.445061,1043.3,2002944
489,4.026593,,0.00286372,0.463360,1045.4,2007040
490,3.876661,,0.00286293,0.466842,1047.4,2011136
491,4.053606,,0.00286214,0.451413,1049.6,2015232
492,3.914459,,0.00286134,0.429170,1051.5,2019328
493,3.863239,,0.00286055,0.458156,1053.5,2023424
494,4.010738,,0.00285975,0.454428,1055.5,2027520
495,3.840160,,0.00285894,0.458189,1057.5,2031616
496,3.933666,,0.00285814,0.457484,1059.5,2035712
497,3.933104,,0.00285733,0.469614,1061.5,2039808
498,3.981657,,0.00285652,0.536904,1063.5,2043904
499,3.891518,,0.00285571,0.453025,1065.5,2048000
500,3.979421,4.078681,0.00285490,0.517655,1079.1,2052096
501,4.020501,,0.00285409,0.524691,1084.1,2056192
502,3.825610,,0.00285327,0.538438,1086.1,2060288
503,3.974899,,0.00285245,0.466073,1087.9,2064384
504,3.938550,,0.00285163,0.422445,1089.8,2068480
505,4.014640,,0.00285080,0.452539,1091.7,2072576
506,3.893670,,0.00284998,0.477589,1093.6,2076672
507,3.917210,,0.00284915,0.392334,1095.6,2080768
508,3.919344,,0.00284832,0.430394,1097.5,2084864
509,3.891171,,0.00284749,0.437537,1099.5,2088960
510,4.020809,,0.00284665,0.433939,1101.3,2093056
511,3.901195,,0.00284582,0.395356,1103.2,2097152
512,3.929278,,0.00284498,0.428801,1105.0,2101248
513,3.953979,,0.00284414,0.469027,1107.0,2105344
514,3.870337,,0.00284329,0.424179,1108.8,2109440
515,3.895096,,0.00284245,0.461655,1110.8,2113536
